name,taxonomy/kingdom,taxonomy/phylum,taxonomy/class,taxonomy/order,taxonomy/family,taxonomy/genus,taxonomy/scientific_name,locations/0,characteristics/prey,characteristics/name_of_young,characteristics/group_behavior,characteristics/estimated_population_size,characteristics/biggest_threat,characteristics/most_distinctive_feature,characteristics/other_name(s),characteristics/gestation_period,characteristics/habitat,characteristics/diet,characteristics/average_litter_size,characteristics/lifestyle,characteristics/common_name,characteristics/number_of_species,characteristics/location,characteristics/slogan,characteristics/group,characteristics/color,characteristics/skin_type,characteristics/top_speed,characteristics/lifespan,characteristics/weight,characteristics/length,characteristics/age_of_sexual_maturity,characteristics/age_of_weaning,characteristics/litter_size,characteristics/predators,characteristics/type,characteristics/height,characteristics/distinctive_feature,characteristics/temperament,characteristics/training,locations/1,locations/2,locations/3,characteristics/wingspan,characteristics/incubation_period,characteristics/age_of_fledgling,characteristics/average_clutch_size,characteristics/venomous,characteristics/aggression,characteristics/main_prey,characteristics/water_type,characteristics/age_of_independence,characteristics/average_spawn_size,characteristics/nesting_location,characteristics/age_of_molting,characteristics/favorite_food,characteristics/origin,locations/4,characteristics/migratory,characteristics/optimum_ph_level,locations/5,locations/6,locations/7,characteristics/special_features,locations/8,locations/9
English Bulldog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,,,,,,,,,8-10 years,49-55 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Cocker Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Europe,,,,,,,,,,Omnivore,,,English Cocker Spaniel,,,Intelligent yet stubborn by nature!,Gun Dog,,Hair,,15 years,15kg (34lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Cream Golden Retriever,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,,,,,,GoldCream,Hair,,10-12 years,75 lbs,,,,,,,,,Intelligent and obedient,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Foxhound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,,,,,,BlackWhiteTanMulti-colored,Hair,,10 to 13 years,75 pounds,,,,,,,,,"Friendly, independent, affectionate",,,,,,,,,,,,,,,,,,,,,,,,,,,
English Pointer,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Setter,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,,,,,,BlueOrangeChestnutMulti-coloredOlive-Grey,Hair,,11 to 15 years,80 pounds,,,,,,,,,"Friendly, affectionate, and gentle",,,,,,,,,,,,,,,,,,,,,,,,,,,
English Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,English Shepherd,,,Highly intelligent and independent!,Herd,BlackWhiteTanBrindle,Hair,,14 years,27kg (60lbs),,,,,,,,,"Intelligent, shy and devoted",,,,,,,,,,,,,,,,,,,,,,,,,,,
English Springer Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,English Springer Spaniel,,,Friendly and eager to please!,Gun Dog,,Hair,,12 years,25kg (55lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entlebucher Mountain Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,Entlebucher Mountain Dog,,,Native to parts of the Swiss Alps!,Sennenhund,BlackWhiteTan,Hair,,12 years,30kg (65lbs),,,,,,,,,"Intelligent, affectionate, stubborn",,,,,,,,,,,,,,,,,,,,,,,,,,,
Epagneul Pont Audemer,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,Epagneul Pont-Audemer,,,"Hard-working, gentle and affectionate!",Gun Dog,,Hair,,13 years,24kg (53lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermine,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela erminea,Asia,,Kits,Solitary,Unknown,Habitat loss,Zig-zagging movement,Stoat or short-tailed weasel,,Woodlands and forests,Carnivore,,,Ermine,,"Europe, Asia, and North America",,Mammals,BrownBlackWhite,Fur,8 mph,Seven to 10 years,60g - 110g (2.1oz - 3.9oz),23cm - 31cm (9in - 12in),A few months to a year,,Four to 18,"Badgers, foxes, coyotes, eagles, owls, and weasels",,,,,,Eurasia,Europe,North-America,,,,,,,,,,,,,"Rodents, shrews, rabbits, frogs, insects, birds, and eggs",,Oceania,,,,,,,,
Escolar,Animalia,Chordata,Actinopterygii,Scombriformes,Gempylidae,Lepidocybium,Lepidocybium flavobrunneum,Ocean,"Other fish, squid, cuttlefish, crustaceans",,Solitary,unknown,Being caught as by-catch by tuna fisheries,Sideways keel on the tail,"White tuna, butterfish, ex-lax fish, skolier, black oilfish, tuna minyak, snake mackerel, waloo",,Temperate and tropical oceans save the northern Indian Ocean,Carnivore,,,Escolar,1,,,,BrownGreyBlack,Scales,,11 years,,7 feet,,,,"Humans, yellowfin tuna",Fish,,,,,,,,,,,,,,,Salt,,,,,,,,,6.0-8.0,,,,,,
Eskimo Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,North-America,,,,,,,,,,Omnivore,,,Eskimo Dog,,,Takes pure delight in cold weather!,North,,Hair,,14 years,47kg (105lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eskipoo,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estrela Mountain Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,Estrela Mountain Dog,,,Very protective and stubborn!,Guard,,Hair,,16 years,47kg (105lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
