name,taxonomy/kingdom,taxonomy/phylum,taxonomy/class,taxonomy/order,taxonomy/family,taxonomy/genus,taxonomy/scientific_name,locations/0,characteristics/prey,characteristics/name_of_young,characteristics/group_behavior,characteristics/estimated_population_size,characteristics/biggest_threat,characteristics/most_distinctive_feature,characteristics/other_name(s),characteristics/gestation_period,characteristics/habitat,characteristics/diet,characteristics/average_litter_size,characteristics/lifestyle,characteristics/common_name,characteristics/number_of_species,characteristics/location,characteristics/slogan,characteristics/group,characteristics/color,characteristics/skin_type,characteristics/top_speed,characteristics/lifespan,characteristics/weight,characteristics/length,characteristics/age_of_sexual_maturity,characteristics/age_of_weaning,characteristics/litter_size,characteristics/predators,characteristics/type,characteristics/height,characteristics/distinctive_feature,characteristics/temperament,characteristics/training,locations/1,locations/2,locations/3,characteristics/wingspan,characteristics/incubation_period,characteristics/age_of_fledgling,characteristics/average_clutch_size,characteristics/venomous,characteristics/aggression,characteristics/main_prey,characteristics/water_type,characteristics/age_of_independence,characteristics/average_spawn_size,characteristics/nesting_location,characteristics/age_of_molting,characteristics/favorite_food,characteristics/origin,locations/4,characteristics/migratory,characteristics/optimum_ph_level,locations/5,locations/6,locations/7,characteristics/special_features,locations/8,locations/9
Aardvark,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,Africa,"Termites, Ants",Cub,Solitary,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears","Antbear, Earth Pig",7 months,Sandy and clay soil,Omnivore,1,Nocturnal,Aardvark,18,Sub-Saharan Africa,Can move 2ft of soil in just 15 seconds!,Mammal,BrownGreyYellow,Hair,25 mph,23 years,60kg - 80kg (130lbs - 180lbs),1.05m - 2.20m (3.4ft - 7.3ft),2 years,3 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aardwolf,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristata,Africa,Termites and other insects,Cubs or pups,Solitary,,Habitat loss,The thick mane that runs along the back,"Maanhaar-jackal, termite-eating hyena, and civet hyena",90 days,Savannas and grasslands,Carnivore,,,aardwolf,1,Sub-Saharan Africa,,,BrownYellowBlack,Hair,,15 years,17-31lbs,33-41in,1.5-2 years,3-4 months,02-May,"Jackals, lions, and leopards",mammal,16-20in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssinian,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Africa,,,,,,,aka Aby or Abys for short,,,Omnivore,6,,Abyssinian cat,,,The oldest breed of cat in the world!,Cat,BrownGreyBlackWhiteBeige,Hair,,13-15 years,6-10 lbs,,,,,,Shorthair,,Silky fur and almond shaped eyes,Intelligent and curious,Easy,,,,,,,,,,,,,,,,,,,,,,,,,,
Addax,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,Africa,,Calf,Social,Less than 500 in the wild,"Overhunting, poaching, habitat destruction, climate change, human activity.","Its long, beautiful, spiral horns"," White antelope, screwhorn antelope, bakr al wahsh",257 to 264 days,Desert and semidesert habitats,Herbivore,,,Addax,1,"Areas of Niger, Chad, Mali, Mauritania, Libya, Sudan, reintroduced into Tunisia and Morocco",,herd,WhiteGrey-Brown,Hair,,19-25 years,,47 to 51 inches with a 9.8 to 13.8 inch tail,"Two years for males, two to three years for females",5 to 9 months,01-Feb,"Humans, big cats such as lions and leopards, medium-sized cats such as servals, hyenas and African wild dogs",Mammal,"Males 41 to 45 inches at the shoulder, females 37 to 43 inches at the shoulder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelie Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,Antarctica,"Krill, Fish, Squid",Chicks,Colony,5 million,Rapid ice melt,Small white circle around each eye,,,Antarctic land and ocean,Carnivore,,Diurnal,Adelie Penguin,1,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,,Feathers,45 mph,10 - 20 years,3kg - 6kg (7lbs - 13lbs),,2 - 3 years,,,"Leopard Seal, Skua Gull, Killer Whale",,40cm - 75cm (16in - 30in),,,,Asia,Eurasia,Ocean,35cm - 70cm (14in - 27.5in),2 months,90 days,2,,,,,,,,,,,,,,,,,,,
Aesculapian snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Zamenis,Zamenis longissimus,Asia,"Rodents, shrews, moles, birds, eggs, lizards, and insects",,,,,,,,,Carnivore,10 eggs,,Aesculapian snake,,,,,BlackOliveMulti-colored,,,25-30 years,,3-6.6 feet,,,,,,,,,,Europe,,,,,,,No,Low,,,,,,,,,,,,,,,,,
Affenpinscher,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Europe,,,,,,,,,,Omnivore,3,,Affenpinscher,,,First bred in 17th century Germany!,Dog,GreyBlack,Hair,,,,,,,,,Terrier,,Dark wiry-haired body and dark eyes,Alert and inquisitive,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghan Hound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Asia,,,,,,,,,,Omnivore,7,,Afghan Hound,,,First used as a shepherd and hunter!,Dog,BrownBlackWhiteGold,Hair,,,,,,,,,Hound,,Long fur and pointed muzzle,Alert yet reserved and lively,Moderately Easy,,,,,,,,,,,,,,,,,,,,,,,,,,
African Bullfrog,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus adspersus,Africa,,"Tadpole, polliwog, larva",Solitary,Unknown,"Habitat destruction, hunting, pet trade",Size,"Pixie frog, Giant African Bullfrog",,"Deserts, high veld, floodplains, grassland, savanna, farms, marshes, ponds, lakes",Carnivore,,,African bullfrog,1,Sub-Saharan Africa,,,YellowCreamOliveLight-Brown,Permeable,,45 years,0.9 to 18 kilograms (2 - 4 pounds),11.43 - 25.4 centimeters (4.5 - 10 inches),1.5 - 2 years,,As many as 4000 eggs laid at a time,Humans,Amphibian,,,,,,,,,,,,,,"Reptiles, small mammals, small birds, insects, amphibians, including other frogs",Fresh,,,,,,,,,,,,,,,
African Bush Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,Africa,"Grass, Fruit, Roots",Calf,Herd,"3,00,000",Poaching and habitat loss,"Large, rounded ears",African Elephant,20 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Bush Elephant,1,central and southern Africa,Can drink up to 50 gallons a day,Mammal,BrownGrey,Leather,25 mph,60 - 70 years,"3,600kg - 5,400kg (7,900lbs - 12,000lbs)",,11 - 20 years,6 - 18 months,,"Human, Lion, Hyena",,3m - 3.5m (10ft - 12ft),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta,Africa,"Rodents, Snakes, Frogs",Pup,Solitary,Abundant,Habitat loss,Black band around their eyes,,60 - 70 days,Tropical rainforest,Omnivore,3,Nocturnal,African Civet,1,across sub-Saharan Africa,Secretes up to 4g of musk every week!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,11 - 12 months,8 - 10 weeks,,"Lions, Snakes, Leopards",,43cm - 71cm (17in - 28in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Clawed Frog,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,Africa,"Small Fish, Insects, Spiders",Tadpole,Solitary,Abundant,Water pollution,Clawed front toes,Platanna,,Warm stagnant water with grassland,Carnivore,,Nocturnal,African Clawed Frog,1,eastern and southern Africa,A particularly ferocious amphibian!,Amphibian,BrownGreyAlbino,Permeable Scales,5 mph,8 - 15 years,25g - 220g (1oz - 8oz),2.5cm - 12cm (1in - 5in),10 - 12 months,,,"Snakes, Birds, Small Mammals",,,,,,,,,,4 - 5 days,,,,,,Fresh,5 days,"2,000",,,,,,,,,,,,,
African Forest Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta cyclotis,Africa,"Grass, Fruit, Roots",Calf,Herd,"2,00,000",Poaching and habitat loss,"Rounded ears and thin, straight tusks",African Elephant,22 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Forest Elephant,1,central and southern Africa,Have large rounded ears to help keep them cool!,Mammal,BrownGrey,Leather,24 mph,60 - 70 years,"900kg - 3,000kg (1,984lbs - 6,613lbs)",,11 - 20 years,5 years,,"Human, Lion, Hyena",,2m - 3m (6.6ft - 9.8ft),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Grey Parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,Africa,,,,"630,00 to 13 million","Habitat destruction, pet trade, pesticides, hunting",,"Congo grey parrot, grey parrot, Congo African grey parrot",,"Lowland forests, mangroves, savannas, gardens",Herbivore,,,African grey parrot,1,Central and West Africa,,,GreyRed,,42 mph,"23 years in the wild, up to 60 years in captivity",14.75 to 18.5 ounces,13 inches,,,three to five,"Birds of prey, monkeys, terrestrial predators",bird,,,,,,,,18 to 20.5 inches,30 days,,4,,,,,,,Tree cavity,12 weeks,,,,,,,,,,,
African Palm Civet,Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,Nandinia binotata,Africa,"Rodents, Snakes, Frogs",Pup,Solitary,Locally abundant,Habitat loss,"Snout with sharp, pointed teeth",Two-Spotted Palm Civet,64 days,Tropical rainforest,Omnivore,2,Crepuscular,African Palm Civet,1,eastern Africa,Solitary but gathers in groups!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,2 - 3 years,2 months,,"Lions, Snakes, Leopards",,43cm - 71cm (17in - 28in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,Africa,"Fish, Squid, Crustaceans",Chick,Colony,"1,40,000",Habitat disruption,Pink glands above their eyes,Jackass Penguin,,Rocky Ocean Islands,Carnivore,,Diurnal,African Penguin,1,south-west African coast,The only penguin species in Africa!,Bird,GreyBlackWhite,Feathers,12.4 mph,10 - 15 years,2kg - 5kg (4.4lbs - 11lbs),,3 - 4 years,,,"Sharks, Fur Seals, Gulls",,60cm - 68cm (24in - 27in),,,,Ocean,,,,40 days,3 - 5 months,2,,,,Salt,,,,,,,,,,,,,,,
African Tree Toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophryne,Nectophryne afra,Africa,"Insects, Worms, Snails",,,,,,,,Tropical lowland forest,Carnivore,,Solitary,,,Central Africa,Found in tropical moist lowland forests!,,BrownBlackWhiteTan,Permeable,5 mph,3 - 5 years,2g - 5g (0.07oz - 0.18oz),2.5cm - 3.8cm (1in - 1.5in),,,,"Fish, Toads, Birds",Amphibian,,Small body size and webbed feet,,,,,,,,,,,,,,,100,,,,,,,,,,,,,
African Wild Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,Africa,"Antelope, Warthog, Rodents",Pup,Pack,"Less than 5,000",Habitat loss,Four toes on each foot rather than five,"Hunting Dog, Painted Dog, Painted Wolf",70 days,Open plains and savanna,Carnivore,8,Crepuscular,African Wild Dog,1,sub-Saharan Africa,Also known as the painted dog!,Mammal,BrownGreyRedBlackWhiteGoldTan,Fur,45 mph,10 - 13 years,17kg - 36kg (39lbs - 79lbs),75cm - 110cm (29in - 43in),12 - 18 months,3 months,,"Lions, Hyenas, Humans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agama Lizard,Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,,Africa,"Insects, reptiles, small mammals.",Hatchlings,Group,Unknown,Habitat loss,The bright blue or red colors of the dominant male.,Dragon lizards,8-10 weeks,"Forests, deserts, plains, and urban areas",Omnivore,,,Agama,,Sub-Saharan Africa,,,BrownBlueBlackWhiteGreen,Scales,,Up to 25 years,About 1kg (2lbs),12-30cm (5-12in),1-2 years,,5-7 eggs,"Snakes, birds, and small mammals",Lizards,,,,,,,,,,,,,,,,,,,,"Insects, reptiles, small mammals, flowers, grasses, and fruits",,,,,,,,,,
Aidi,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Africa,,Puppy,,,,,"Atlas Mountain Dog, Atlas Shepherd Dog, Berber Dog, Chien de l'Atlas, and Chien de montagne de l'Atlas",,,Omnivore,,,Aidi,,,,,RedBlackWhiteTawny,Hair,,12-15 years,,,,,5-8 puppies,,Mammal,,,protective and playful,,,,,,,,,,,,,,,,,,Morocco,,,,,,,,,
Ainu-ken,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Asia,,,,,,,,,,Omnivore,7,,"Hokkaido-Inu, D?-ken, Ainu-ken, Seta, Ainu dog, Hokkaido-Ken",,,An innate sense of direction!,Dog,BrownGreyWhiteTan,Hair,,,,,,,,,Working,,Sharply pointed ears and upturned tail,"Fearless, determined and loyal",Hard,,,,,,,,,,,,,,,,,,,,,,,,,,
Airedale Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Europe,,,,,,,,,,Omnivore,8,,Airedale Terrier,,,"Very intelligent, independent and strong-minded!",Dog,BrownBlackTan,Hair,,,,,,,,,Terrier,,Long muzzle and square body,"Friendly, adaptable and courageous",Fairly Easy,,,,,,,,,,,,,,,,,,,,,,,,,,
Airedoodle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akbash,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Europe,,,,,,,,,,Omnivore,8,,Akbash,,,Often used as a guard dog!,Dog,BrownWhite,Hair,,,,,,,,,Guard,,Big head and powerful jaws,"Calm, independent, brave and protective",Hard,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Asia,,,,,,,,,,Omnivore,7,,Akita,,,"Very clean, intelligent and loyal!",Dog,BrownGreyBlackWhite,Hair,,10 – 15 years,130 lbs,,,,,,Working,,Pointed ears and upward curving tail,"Intelligent, courageous and fearless",Medium - Hard,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlackWhiteBrindleSilver,Hair,,10 to 13 years,120 lbs,,,,,,,,,"Loyal, hard-working, and courageous",,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabai,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Eurasia,,,,,,,,,,Omnivore,,,,,,,,GreyBlackWhiteBrindleMulti-colored,Hair,,12 – 15 years,110+ lbs,,,,,,,,,"Independent, proud, and affectionate",,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Husky,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlackWhite,Hair,,10 – 12 years,65 lbs,,,,,,,,,"Energetic, hard-working, and affectionate",,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Klee Kai,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,Puppy,,,,"the contrasting colored facial mask with the well-defined nose bar down the center of the muzzle, and goggles around the eyes",,,,Omnivore,,,,,,,,GreyRedBlackWhite,Hair,,13-16 years,,,,,1-5 puppies,,,,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
Alaskan Malamute,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,North-America,,,,,,,,,,Omnivore,6,,Alaskan Malamute,,,Often used as sled dogs!,Dog,GreyBlackWhite,Hair,,,,,,,,,Working,,Pointed face and upturned tail,"Affectionate, friendly and loyal",Medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlueBlackWhiteCreamSilver,Hair,,9-13years,85 lbs,,,,,,,,,"Loyal, attentive, and hard-working",,,,,,,,,,,,,,,,,,,,,,,,,,,
Albacore Tuna,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus alalunga,Ocean,,,School,More than a million,Overfishing,The long pectoral fin that stretches across the body,Longfin tuna,A few days,Oceans,Carnivore,,,Albacore tuna,1,,,,GreyBlueSilver,Smooth,50 mph,10 - 12 years,Up to 80lbs,1.2m (4ft),,,,"Sharks, billfish, rays, humans, and other tunas",Ray-finned fish,,,,,,,,,,,,,,"Fish, crustaceans, cephalopods, and mollusks",Salt,,,,,,,,,,,,,,,
Albatross,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,,Diomedeidae,Africa,"Squid, krill, and fish",Chicks,Colonial Nesting,Varies by species,Depletion of prey from overfishing,The large size,Mollymawk or gooney bird,A few months,Open seas and oceans,Carnivore,,,Albatross,,The Southern Hemisphere and North Pacific,,,BrownGreyYellowRedBlackWhite,Feathers,50 mph,Up to 50 years,Up to 22lbs (10kg),Up to 4.4ft (1.2m),5 to 10 years,,1,"Humans, sharks, cats, and rats",Bird,,,,,North-America,Ocean,Oceania,Up to 3.3m (11ft),,3 to 10 months,,,,,,,,,,,,South-America,,,,,,,,
Aldabra Giant Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,Geochelone gigantea,Ocean,"Grasses, Leaves, Flowers",Hatchling,Herd,"2,00,000",Habitat loss,"Large, high-domed shell",Giant Tortoise,,Grasslands and swamps,Herbivore,,Diurnal,Aldabra Giant Tortoise,1,Aldabra atoll in the Indian Ocean,One got to be 255 years old!,Reptile,BrownBlackTan,Scales,0.3 mph,80 - 255 years,150kg - 250kg (330lbs - 550lbs),90cm - 120cm (3ft - 4ft),20 - 30 years,,,"Giant Crab, Humans, Cats",,,,,,,,,,8 months,,15,,,,,3 - 6 months,,,,,,,,,,,,,,
Alligator,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,Alligator mississippiensis,Asia,"Fish, Snakes, Turtles",Hatchling,Solitary,1 million/less than 100,Water pollution,Muscular tail half the total body length,Gator,,Marsh and swampland,Carnivore,,Diurnal/Nocturnal,Alligator,2,southern USA and China,They have two sets of eyelids!,Reptile,BrownGreyYellowBlackGreen,Scales,15 mph,30 - 60 years,181kg - 363kg (400lbs - 800lbs),2.5cm - 4.5m (8ft - 15ft),10 - 12 years,,,"Human, Birds, Raccoon",,,,,,North-America,Ocean,,,2 months,,35,,,,Brackish,1- 2 years,,,,,,,,,,,,,,
Alligator Gar,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula,Central-America,,,Solitary,Unknown,Overhunting,Sharp teeth,Garpike,6-8 days,"Rivers, lakes, swamps, bayous, and estuaries",Carnivore,,,Alligator Gar,1,,,,BrownGreyYellowWhiteGreen,Scales,,About 50 years,Up to 350lbs,Up to 3m (10ft),,,,Humans and alligators,Ray-finned fish,,,,,North-America,,,,,,,,,"Fish, turtles, birds, and mammals",Fresh,,,,,,,,,,,,,,,
Alpaca,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,Vicugna pacos,South-America,,Cria,Herd,Least concern,Loss of rangeland,Hypoallergenic fleece,Vicugna,242-345 days,"Farms, temperate high meadow",Herbivore,,,Alpaca,1,"Andes Mountains of Peru, Bolivia, Ecuador and Chile",,,BrownFawnBlackWhiteTanDark BrownCreamChocolateCaramelBeigeChestnutWhite-BrownBlack-BrownSandyGoldenBlondeLight-Brown,Fur,35 mph,15-20 years,48-84 kilograms (106-185 pounds),120-225 centimeters (4-7 feet),Females 18 months; males two to three years,Around six months,One,,,81-99 centimeters (32-39 inches) to withers,,,,,,,,,,,,,,,,,,,"Hay, pasture grass and/or silage",,,,,,,,,,
Alpine Dachsbracke,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,8,,Alpine Dachsbracke,,,Good companion and hard-working breed!,Dog,BrownRedBlack,Hair,,12 years,,,,,,,Scent Hound,,"Elongated body and short, stocky legs","Fearless, friendly and intelligent",Easy,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,Europe,,Kids,Herd,,Habitat reduction,"Tall, slightly curved horns","French Alpine, British Alpine, Rock Alpine",155 days,"Domestic, mountains",Herbivore,,,Alpine goat,,,,,BrownGreyBlackWhite,Hair,15 mph,15-18 years,135-175 lbs,,2 years,8 weeks,1.75,"Wolves, mountain lions, bobcats, and other carnivores",Mammal,32 inches,,,,North-America,,,,,,,,,,,,,,,"Grass, vegetation",,,,,,,,,,
Alusky,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,BrownGreyBlackWhiteSilver,Hair,,10 to 15 years,100 lbs,,,,,,,,,Energetic and friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,,Central-America,,,,"The populations of many wild Amazon parrots haven’t been quantified, but 58 percent of these parrots are now considered endangered as of 2021. As of 2020 there were 2361 yellow-naped Amazon parrots, and there are an estimated 9000 to 10,000 red-tailed amazons in the wild. On the other hand, the Imperial amazon is considered critically endangered, and there may be only 50 adult birds in the wild.","Pet trade, habitat destruction",Their colorful feathers,"Sisserou, turquoise-fronted parrot, yellow-shouldered parrot, mercenary amazon, red-tailed parrot, cuca",,"Woodlands, savannas, rainforests, palm groves, cloud forests, moist forests, mountain forests",Herbivore,,,Amazon Parrot,35,"South America, the Caribbean, Mexico, South Africa, Europe",,,YellowRedBlueGreenPurple,Feathers,50 mph,As long as 100 years,7.6 ounces to 32 ounces,10 to 20 inches long,,,Two to five,"Monkeys, birds of prey, snakes",Bird,,,,,South-America,,,8 inches to 11.26 inches,About a month,,,,,,,,,Tree cavity,Two months,,,,,,,,,,,
Amazon River Dolphin (Pink Dolphin),Animalia,Chordata,Mammalia,Cetacea,Platanistoidea,Platanistidae,Platanistoidea,South-America,,,,,,,,,Large tropical rivers and estuaries,Carnivore,1,School,,,,Also known as the 'Pink Dolphin',,GreyPink,Smooth,18 mph,12-18 years,100-200kg (220-440lbs),,,,,Human,Mammal,,,,,,,,,,,,,,"Fish, Prawns, Frogs",,,,,,Fish,,,,,,,,,,
Ambrosia Beetle,Animalia,Arthropoda,Insecta,Coleoptera,,,,North-America,Fungi,Larvae,Solitary,,,The long oddly shaped shell,,one month,"Anywhere with hardwood trees, conifers, and woody shrubs",Omnivore,,,Ambrosia Beetle,,,,,BrownRedBlack,Exoskeleton,,up to one year,1-5mg,0.1-0.3in,A few weeks or months,,up to 60 eggs,"Insects, spiders, reptiles, frogs, mammals, and birds",inesct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Alsatian,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Carnivore,,,American Alsatian,,,,,BlackGoldCreamSilver,Hair,,,66-88 pounds,,,,,,,24-26 inches,,"Calm, friendly, and loyal",,,,,,,,,,,,,,,,,,,,,,,,,,,
American Bulldog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,North-America,,,,,,,,,,Omnivore,8,,American Bulldog,,,Can jump up to 6ft high!,Dog,BrownRedBlackWhiteTanBrindle,Hair,,,,,,,,,Mastiff,,Small pendant shaped ears and strong body,Assertive but loyal and friendly,Hard,,,,,,,,,,,,,,,,,,,,,,,,,,
American Cocker Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,4,,American Cocker Spaniel,,,"Merry, outgoing, and eager to please!",Dog,BrownGreyFawnRedBlackWhiteTan,Hair,,,,,,,,,Gun Dog,,"Long, dropped ears and feathered feet","Friendly, happy and enthusiastic",Easy,,,,,,,,,,,,,,,,,,,,,,,,,,
American Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,Africa,organic and decaying matter,Nymph,Colony,,extermination by humans,two sets of wings,"ship cockroach, kakerlac, waterbug and Bombay canary",6-8 weeks,"Moist regions, within manmade structures",Omnivore,,,"Roach, waterbug",1,"North America, Spain, Portugal, Africa, Middle East",,intrusion (then infestation),BrownRed,Exoskeleton,3.4 mph,90 to 706 days,0.105g,29mm – 53mm (1.1in – 2.1in),6-12 months,,9–10 egg cases on average (up to 90 cases),,insect,7mm (0.28in),,,,Europe,North-America,,,,,,,,,,,,,,,,,,,,,,,,
American Coonhound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,7,,American Coonhound,,,Easygoing and people-friendly!,Dog,BrownBlackWhiteTan,Hair,,12 years,,,,,,,Working,,"Long ears and strong, muscular legs",Sweet and even-tempered,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,
American Dog Tick,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,Dermacentor variabilis,North-America,Blood,Larvae,Solitary,,Ingestion by mites or nematodes,Brown bodies with variable tan markings,"Wood tick, dog tick",1-30 days,,Omnivore,,,Dog tick,1,North America,,Ticks,Brown,Exoskeleton,,1-5 years,,3-15 mm,50-600 days,,"3,000-5,000 eggs",,Arachnid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Eskimo Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,5,,American Eskimo Dog,,,The American Eskimo has splendid all white fur and an upturned tail,Dog,White,Hair,,13 - 15 years,,,,,,,,,"Bright, white coat and pointed ears",Playful and smart,Fairly easy,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
American Foxhound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,7,,American Foxhound,,,"Sweet, kind, loyal, and very loving!",Dog,BlackWhiteTan,Hair,,10 to 12 years,,,,,,,Hound,,"Long legs and wide, flat ears","Mix of affectionate, loving, and stubborn",Medium,,,,,,,,,,,,,,,,,,,,,,,,,,
American Hairless Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Leopard Hound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,puppy,,,,,American Leopard Cur,,,Omnivore,,,,,,,,YellowBlueBlackTanBrindle,Hair,42 mph,12-15 years,,,,,5-8 puppies,,mammal,,,"Intelligent, athletic, and friendly",,,,,,,,,,,,,,,,,,United States,,,,,,,,,
American Pit Bull Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,8,,American Pit Bull Terrier,,,These dogs are very energetic and would be up for a game at any given point of time,Working dog,BrownBlackWhiteTanBrindle,Hair,,8 to 15 years,,,,,,,Mastiff,,Small and sharply pointed ears,"Friendly, loyal, playful, affectionate, and slightly stubborn sometimes",,,,,,,,,,,,,,,,,,,,,,,,,,,
